test_file	pre_sha256	post_sha256	changed
tests/integration/IT1.16_RemoteFetchRealRemoteRefs/test_remote_fetch_real_remote_refs.py	ee8654ab57ea	ee8654ab57ea	N
tests/integration/IT1.12_JWTAuthContract/test_it_jwt_auth_contract.py	6685a02a9f3d	6685a02a9f3d	N
tests/integration/IT1.61_SeedDeepFlows/test_seed_deep_flows.py	b9ae6942fe3d	b9ae6942fe3d	N
tests/integration/IT1.15_ManagedGitJob/test_managed_git_job.py	12d9573bc1ed	12d9573bc1ed	N
tests/integration/IT1.3_APIAuthAccept/test_api_auth_accept.py	4745dd7301cd	32f21bdd4734	Y
tests/integration/IT1.1_APIHealthEndpoint/test_api_health_endpoint.py	692ac92a0ec8	4a26f7899a18	Y
tests/security/QT1.1_SecretsNeverLogged/test_secrets_never_logged.py	95fc1c0716e6	b5ef00ec3be5	Y
tests/security/QT1.2_SymlinkEscapePrevented/test_symlink_escape_prevented.py	1b18a33db654	83c9db22983e	Y
tests/security/QT1.3_GitHooksDisabled/test_git_hooks_disabled.py	07c453054f36	89ed75c0d73a	Y
tests/security/QT1.4_UKEnglishCompliance/test_uk_english_compliance.py	f08baae98473	69628473a969	Y
